"id","english","vietnamese","note","module","boi_canh","vi_du"
"898","LTE-M (Long-Term Evolution for Machines)","Mạng LTE cho máy móc","Chuẩn di động IoT băng rộng hơn NB-IoT, hỗ trợ tốc độ và tính di động cao hơn","IOT","","Thiết bị giám sát xe tải sử dụng LTE-M để truyền dữ liệu GPS thời gian thực."
"899","BLE (Bluetooth Low Energy)","Bluetooth năng lượng thấp","Chuẩn truyền thông không dây tầm ngắn, tiết kiệm năng lượng, thường dùng trong thiết bị đeo và cảm biến nhỏ","IOT","","Vòng tay thông minh sử dụng BLE để kết nối với điện thoại di động."
"900","Zigbee","Giao thức Zigbee","Chuẩn truyền thông không dây tầm ngắn cho mạng cảm biến, ứng dụng trong nhà thông minh và công nghiệp nhẹ","IOT","","Đèn thông minh giao tiếp với bộ trung tâm qua mạng Zigbee."
"901","Z-Wave","Giao thức Z-Wave","Công nghệ truyền thông không dây tầm ngắn cho hệ thống tự động hóa nhà, tương tự Zigbee nhưng hoạt động trên băng tần khác","IOT","","Ổ khóa cửa thông minh sử dụng Z-Wave để liên kết với hệ thống an ninh gia đình."
"902","Wi-Fi","Mạng Wi-Fi","Công nghệ mạng không dây dựa trên chuẩn IEEE 802.11, cung cấp kết nối Internet tốc độ cao cho thiết bị IoT","IOT","","Camera an ninh IoT sử dụng Wi-Fi để truyền video trực tiếp lên đám mây."
"903","5G","Mạng di động thế hệ thứ 5","Chuẩn truyền thông di động tốc độ cao, độ trễ thấp, hỗ trợ số lượng lớn thiết bị IoT kết nối cùng lúc","IOT","","Robot tự hành trong nhà máy kết nối với hệ thống điều khiển qua mạng 5G."
"904","TCP/IP (Transmission Control Protocol / Internet Protocol)","Bộ giao thức truyền thông Internet","Tập hợp các giao thức cơ bản cho truyền thông mạng, đảm bảo kết nối tin cậy giữa các thiết bị","IOT","","Cảm biến IoT gửi dữ liệu qua giao thức TCP/IP đến máy chủ đám mây."
"905","UDP (User Datagram Protocol)","Giao thức gói dữ liệu người dùng","Giao thức truyền thông không kết nối, tốc độ cao nhưng không đảm bảo độ tin cậy, thường dùng cho IoT thời gian thực","IOT","","Cảm biến rung truyền tín hiệu qua UDP để giảm độ trễ trong hệ thống giám sát."
"906","HTTP/HTTPS","Giao thức truyền siêu văn bản (bảo mật)","Giao thức ứng dụng phổ biến trên web, dùng trong IoT để trao đổi dữ liệu giữa thiết bị và dịch vụ web","IOT","","Thiết bị IoT gửi dữ liệu lên server qua HTTPS để đảm bảo bảo mật truyền tải."
"907","API (Application Programming Interface)","Giao diện lập trình ứng dụng","Tập hợp các quy tắc cho phép phần mềm hoặc thiết bị giao tiếp và chia sẻ dữ liệu với nhau","IOT","","API của nền tảng IoT cho phép truy xuất dữ liệu cảm biến theo thời gian thực."
"908","REST (Representational State Transfer)","Kiến trúc REST","Mô hình thiết kế API dựa trên HTTP, dùng trong hệ thống IoT để giao tiếp giữa thiết bị và dịch vụ web","IOT","","API RESTful cho phép đọc dữ liệu nhiệt độ từ cảm biến qua đường dẫn URL."
"909","Edge Computing","Điện toán biên","Mô hình xử lý dữ liệu tại vị trí gần thiết bị IoT thay vì gửi toàn bộ lên đám mây, giúp giảm độ trễ và băng thông","IOT","","Dữ liệu cảm biến được xử lý ngay tại Edge Gateway để phát hiện sự cố tức thời."
"910","Fog Computing","Điện toán sương mù","Lớp trung gian giữa Edge và Cloud, cho phép xử lý và lưu trữ dữ liệu phân tán gần nguồn tạo dữ liệu","IOT","","Hệ thống điều khiển công nghiệp sử dụng Fog Node để phân tích dữ liệu tại chỗ trước khi gửi lên Cloud."
"911","Cloud Computing","Điện toán đám mây","Mô hình cung cấp tài nguyên tính toán, lưu trữ và dịch vụ qua Internet, dùng phổ biến trong IoT để lưu trữ và phân tích dữ liệu","IOT","","Dữ liệu từ hàng nghìn cảm biến IoT được lưu và xử lý trên nền tảng đám mây AWS."
"912","IoT Cloud Platform","Nền tảng đám mây IoT","Hệ thống quản lý, thu thập, phân tích và hiển thị dữ liệu từ thiết bị IoT, ví dụ như AWS IoT Core, Azure IoT Hub, Google IoT","IOT","","Nền tảng Azure IoT Hub thu thập dữ liệu từ nhà máy và hiển thị qua dashboard thời gian thực."
"913","Edge Device","Thiết bị biên","Thiết bị nằm ở rìa mạng, có chức năng thu thập, xử lý và truyền dữ liệu đến các tầng Fog hoặc Cloud","IOT","","Cảm biến nhiệt độ trong nhà máy là thiết bị biên thu thập dữ liệu và gửi đến Edge Gateway để xử lý."
"914","Edge Controller","Bộ điều khiển biên","Thiết bị điều khiển đặt tại tầng biên, có khả năng xử lý, ra quyết định và điều khiển cục bộ trong hệ thống IoT/OT","IOT","","Edge Controller quản lý hoạt động của các van và động cơ trong dây chuyền sản xuất mà không cần gửi lệnh lên đám mây."
"915","Fog Node","Nút sương mù","Thiết bị hoặc máy chủ trung gian giữa tầng biên và đám mây, giúp xử lý, lưu trữ và truyền dữ liệu phân tán","IOT","","Fog Node trong nhà máy xử lý dữ liệu từ nhiều cảm biến trước khi gửi kết quả tổng hợp lên Cloud."
"916","Decentralized","Phi tập trung","Mô hình hệ thống trong đó việc xử lý và ra quyết định được phân tán thay vì tập trung tại một máy chủ duy nhất","IOT","","Hệ thống IoT phi tập trung giúp duy trì hoạt động ngay cả khi mất kết nối Internet."
"917","Hierarchical","Phân cấp","Cấu trúc tổ chức theo các tầng từ dưới lên trên, thường dùng trong mô hình OT/IT như Purdue Model","IOT","","Mạng công nghiệp được tổ chức theo cấu trúc phân cấp gồm tầng thiết bị, điều khiển và giám sát."
"918","Centralized","Tập trung","Mô hình trong đó toàn bộ dữ liệu và quyết định được xử lý tại một điểm trung tâm, thường là máy chủ hoặc Cloud","IOT","","Hệ thống SCADA tập trung thu thập dữ liệu từ nhiều trạm và điều khiển từ trung tâm."
"919","Latency","Độ trễ","Khoảng thời gian giữa khi dữ liệu được gửi và khi nhận, là yếu tố quan trọng trong truyền thông thời gian thực của IoT/OT","IOT","","Giảm độ trễ là yêu cầu quan trọng trong điều khiển robot tự động."
"920","Bandwidth","Băng thông","Lượng dữ liệu tối đa có thể truyền qua kênh mạng trong một đơn vị thời gian","IOT","","Hệ thống giám sát video IoT yêu cầu băng thông cao để truyền hình ảnh chất lượng HD."
"921","Data Ingestion","Tiếp nhận dữ liệu","Quá trình thu thập và đưa dữ liệu từ nhiều nguồn vào hệ thống phân tích hoặc lưu trữ như đám mây hoặc data lake","IOT","","Dữ liệu từ hàng nghìn cảm biến được tiếp nhận liên tục vào nền tảng IoT Cloud để xử lý."
"922","Local Processing","Xử lý cục bộ","Thực hiện xử lý dữ liệu tại nơi tạo ra dữ liệu, thay vì gửi lên Cloud, giúp giảm độ trễ và tiết kiệm băng thông","IOT","","Edge Gateway thực hiện xử lý cục bộ để phát hiện lỗi trong dây chuyền sản xuất tức thời."
"923","Compute","Tính toán","Khả năng xử lý dữ liệu, thực thi thuật toán hoặc ứng dụng trên hệ thống phần cứng","IOT","","Dịch vụ Cloud cung cấp tài nguyên tính toán để chạy các mô hình học máy trên dữ liệu IoT."
"924","Storage","Lưu trữ","Khả năng giữ dữ liệu trên thiết bị, máy chủ hoặc đám mây để phân tích và truy xuất sau này","IOT","","Dữ liệu cảm biến được lưu trữ trong Cloud Storage để phục vụ phân tích lịch sử."
"925","Virtualization","Ảo hóa","Công nghệ cho phép chạy nhiều máy ảo trên cùng một phần cứng vật lý, tối ưu tài nguyên và tăng tính linh hoạt","IOT","","Máy chủ ảo hóa trong trung tâm dữ liệu chạy đồng thời nhiều ứng dụng giám sát công nghiệp."
"926","Container","Vùng chứa (Container)","Môi trường ảo nhẹ, đóng gói ứng dụng cùng các thư viện phụ thuộc để dễ triển khai trên nhiều hệ thống khác nhau","IOT","","Ứng dụng IoT được triển khai trong container để dễ dàng di chuyển giữa các máy chủ."
"927","Docker","Nền tảng Docker","Công cụ tạo và quản lý container, giúp triển khai ứng dụng nhanh và đồng nhất trên nhiều môi trường","IOT","","Hệ thống phân tích IoT được đóng gói bằng Docker để triển khai đồng thời trên Edge và Cloud."
"928","Kubernetes","Nền tảng Kubernetes","Hệ thống điều phối container mã nguồn mở, cho phép tự động triển khai, mở rộng và quản lý các container","IOT","","Doanh nghiệp sử dụng Kubernetes để quản lý hàng trăm container chạy dịch vụ IoT phân tán."
"929","Microservices","Kiến trúc vi dịch vụ","Phương pháp thiết kế phần mềm chia ứng dụng thành các dịch vụ nhỏ, độc lập, dễ bảo trì và mở rộng","IOT","","Hệ thống IoT sử dụng kiến trúc vi dịch vụ để tách riêng các chức năng thu thập và phân tích dữ liệu."
"930","Cybersecurity","An ninh mạng","Tập hợp các biện pháp, công nghệ và quy trình bảo vệ hệ thống, dữ liệu và mạng khỏi tấn công mạng","IOT","","Đội an ninh mạng triển khai hệ thống giám sát để phát hiện xâm nhập bất thường vào mạng công nghiệp."
"931","OT Security (Operational Technology Security)","An ninh công nghệ vận hành","Bảo vệ các hệ thống điều khiển công nghiệp như SCADA, PLC và DCS khỏi tấn công mạng hoặc xâm nhập vật lý","IOT","","OT Security giúp ngăn chặn tấn công làm gián đoạn dây chuyền sản xuất."
"932","IT/OT Convergence","Hội tụ IT và OT","Sự kết hợp giữa công nghệ thông tin (IT) và công nghệ vận hành (OT) để chia sẻ dữ liệu và tối ưu quy trình sản xuất","IOT","","Hội tụ IT/OT giúp doanh nghiệp phân tích dữ liệu sản xuất theo thời gian thực để ra quyết định nhanh hơn."
"933","Air Gap","Cách ly vật lý","Phương pháp bảo mật bằng cách tách biệt hoàn toàn mạng OT khỏi mạng Internet hoặc IT để ngăn truy cập trái phép","IOT","","Mạng điều khiển nhà máy được thiết kế có Air Gap để chống lại tấn công từ bên ngoài."
"934","Data Diode","Điốt dữ liệu","Thiết bị bảo mật cho phép dữ liệu chỉ đi theo một chiều, ngăn việc truy cập ngược từ mạng kém an toàn vào mạng quan trọng","IOT","","Data Diode được sử dụng giữa mạng SCADA và IT để đảm bảo dữ liệu chỉ truyền ra ngoài, không truyền ngược lại."
"935","Firewall","Tường lửa","Thiết bị hoặc phần mềm kiểm soát lưu lượng mạng vào và ra, ngăn chặn truy cập trái phép","IOT","","Tường lửa công nghiệp được cài đặt giữa tầng điều khiển và tầng giám sát để ngăn lưu lượng độc hại."
"936","Next-Generation Firewall (NGFW)","Tường lửa thế hệ mới","Thiết bị bảo mật tích hợp khả năng kiểm tra gói tin sâu, phát hiện xâm nhập và lọc ứng dụng để bảo vệ toàn diện hơn tường lửa truyền thống","IOT","","NGFW có thể chặn các truy cập độc hại dựa trên hành vi ứng dụng và người dùng."
